ind;side;ampl;f_max;sym_max;f_Lw1;sym_Lw1;f_Lw2;sym_Lw2;slope_pre;slope_post;mean_500;mean_1000;mean_1500;mean_2000;mean_2500;mean_3000;mean_3500;mean_4000;mean_4500;mean_5000
ESS002;L;-3.3801694915254243;1679.69;0.3258426966292135;1679.69;0.3258426966292135;1679.69;0.3258426966292135;0.01268118590988995;-0.010759601651519965;-8.808333333333332;-1.5441666666666667;1.9415384615384614;-0.608269230769231;-1.7392307692307694;-4.9665384615384625;-6.362500000000001;-5.172884615384616;-3.694807692307692;-6.60075
ESS002;R;-1.3606355932203391;1601.56;0.2967032967032967;1601.56;0.2967032967032967;1562.5;0.2826086956521739;0.01268118590988995;-0.010759601651519965;-0.10458333333333326;-0.7245833333333334;6.283076923076924;2.001346153846154;3.820576923076923;-4.444999999999999;-5.562083333333333;-4.431153846153847;-7.614615384615385;-2.74725
ESS003;L;-5.065762711864408;1289.06;0.1919191919191919;1250.0;0.18;1367.19;0.21649484536082475;0.01268118590988995;-0.010759601651519965;-1.2599999999999998;1.2052083333333334;4.9923076923076914;-1.8201923076923079;2.854038461538462;-7.511346153846154;-7.910833333333335;-11.602692307692307;-13.212115384615384;-16.783250000000002
ESS003;R;-7.0728813559322035;1132.81;0.14563106796116504;1132.81;0.14563106796116504;1250.0;0.18;0.01268118590988995;-0.010759601651519965;-3.8462499999999995;2.3477083333333333;1.518846153846154;-2.9726923076923084;-3.3994230769230764;-5.825769230769231;-10.595625;-14.400192307692306;-15.519615384615385;-18.47625
ESS004;R;4.3975988700564965;1093.75;0.1346153846153846;1093.75;0.1346153846153846;2812.5;0.9666666666666667;0.01268118590988995;-0.010759601651519965;-1.6605555555555551;11.49111111111111;11.568205128205127;9.113076923076925;11.836923076923076;11.55205128205128;3.7219444444444445;-7.344871794871796;-2.9084615384615384;-9.329666666666666
ESS005;L;-1.2852966101694916;1328.12;0.20408163265306123;1328.12;0.20408163265306123;2578.12;0.7878787878787878;0.01268118590988995;-0.010759601651519965;2.705;-0.2154166666666666;2.884423076923077;1.9778846153846164;7.8178846153846155;-0.14653846153846167;1.503125;-5.928653846153846;-10.422884615384616;-13.371500000000001
ESS005;R;-1.0622245762711864;1679.69;0.3258426966292135;1679.69;0.3258426966292135;1835.94;0.38823529411764707;0.01268118590988995;-0.010759601651519965;-2.841666666666667;3.520208333333333;9.712307692307691;12.323461538461537;5.917307692307692;-0.16153846153846152;-7.386666666666667;-12.532115384615384;-10.69173076923077;-12.127500000000001
ESS006;L;3.4706991525423727;898.44;0.08256880733944955;1835.94;0.38823529411764707;2773.44;0.9344262295081968;0.01268118590988995;-0.010759601651519965;8.915416666666667;11.345208333333332;11.06019230769231;5.943461538461539;3.440576923076923;6.058461538461538;-0.5110416666666667;-4.715769230769231;-1.955192307692308;-3.17725
ESS006;R;2.5370127118644064;1015.62;0.11320754716981132;976.56;0.102803738317757;1015.62;0.11320754716981132;0.01268118590988995;-0.010759601651519965;14.934166666666664;14.19229166666667;7.630384615384615;7.016538461538463;4.711153846153847;3.0507692307692307;1.5272916666666667;-2.458653846153846;-8.939615384615385;-12.200999999999999
ESS007;L;3.591673728813559;1054.69;0.12380952380952381;1054.69;0.12380952380952381;1015.62;0.11320754716981132;0.01268118590988995;-0.010759601651519965;4.826249999999999;15.620416666666666;13.246730769230773;12.83153846153846;6.398653846153847;3.3042307692307684;3.821875;1.1882692307692309;-10.370576923076925;-18.423250000000003
ESS007;R;3.592983050847457;1289.06;0.1919191919191919;1289.06;0.1919191919191919;1210.94;0.16831683168316833;0.01268118590988995;-0.010759601651519965;4.479666666666667;14.493166666666665;11.745076923076924;15.12353846153846;3.310307692307693;3.7343076923076923;2.3431666666666664;-3.190923076923077;-7.122;-11.174600000000002
ESS008;L;-2.2397033898305083;1367.19;0.21649484536082475;1367.19;0.21649484536082475;1367.19;0.21649484536082475;0.01268118590988995;-0.010759601651519965;1.2908333333333335;9.212708333333332;14.52288461538462;3.82576923076923;4.147307692307693;-5.713269230769232;-8.775208333333333;-11.512115384615385;-15.378653846153842;-14.5875
ESS009;L;-5.441525423728812;1445.31;0.24210526315789474;2265.62;0.5945945945945946;2187.5;0.5526315789473685;0.01268118590988995;-0.010759601651519965;0.65;-1.9275000000000002;1.2330769230769232;3.4407692307692312;3.9238461538461533;-11.23307692307692;-8.071666666666667;-10.855384615384615;-16.319999999999997;-13.847
ESS009;R;-2.7721186440677967;1562.5;0.2826086956521739;1562.5;0.2826086956521739;1562.5;0.2826086956521739;0.01268118590988995;-0.010759601651519965;3.605;5.102500000000001;6.208653846153846;1.0465384615384616;2.053076923076923;0.1761538461538462;-4.321666666666667;-12.006730769230769;-14.340961538461537;-13.888749999999998
ESS010;L;-0.7567372881355932;1484.38;0.2553191489361702;1484.38;0.2553191489361702;2539.06;0.7611940298507462;0.01268118590988995;-0.010759601651519965;-2.5833333333333335;5.272291666666667;5.867115384615384;0.10519230769230774;8.342692307692307;3.364038461538461;-0.7464583333333334;-7.563461538461539;-7.899615384615383;-15.69125
ESS010;R;-9.367351694915255;1640.62;0.3111111111111111;1679.69;0.3258426966292135;1640.62;0.3111111111111111;0.01268118590988995;-0.010759601651519965;-8.200000000000001;-10.018333333333334;-0.6457692307692309;-7.964423076923075;-6.65923076923077;-2.9138461538461535;-8.693541666666667;-9.809615384615386;-17.531730769230766;-23.978500000000004
ESS011;L;0.870021186440678;1445.31;0.24210526315789474;1406.25;0.22916666666666666;1250.0;0.18;0.01268118590988995;-0.010759601651519965;-6.820833333333333;6.427499999999999;8.596153846153847;2.378653846153845;4.722884615384615;-4.5273076923076925;0.377083333333333;2.175192307692307;-4.7282692307692304;-5.00925
